id;name;field;degree;grade;applicant_id
1;viral Architect Program;Hybrid;Berkshire;13709;174
2;blue Bolivia Principal;green extremely;watchful Toyota;17922;1066
3;Extended male Qatari;Bicycle Grocery Tuna;deposit;12928;27506
4;Hybrid poorly 6th;payment;sievert Poland Mobility;4923;15776
5;steradian;nisi miniaturise joule;Towels;25621;13800
6;consectetur;whereas;District;11395;21062
7;granular yellow excepturi;asymmetric revolutionize Bicycle;probable;26488;15131
8;Strontium;withdrawal Avon alarm;Regional Eswatini Integration;24374;31655
9;Account;Jersey interfaces;Data;27269;2766
10;Bicycle solution Cotton;Osmium;over;16106;1361
